deck_played,date,opponent_text,mapped_archetype,class,result,reason,deck_id,ts,panel_key,confidence
"Brew 03a — Arceus / Nihilego / Toxapex",2026-09-15,Silcoon/cascoon,"Beautifly Dustox",established off-list,L,"Silcoon and Cascoon are the middle stages of Beautifly / Dustox; listed (553 rows), just outside top 30",brew-03a,1789529043131,,exact
"Brew 04 — Xatu / Team Rocket's Slowking ex",2026-09-15,"Mega Sharpedo ex / Gyarados","Mega Sharpedo ex Gyarados",top-30 off-panel,W,"exact top-30 name (#24, 0.74%)",brew-04,1789530226980,,exact
"Deck 07 — Skarmory stall",2026-09-15,"Hydreigon / Mega Absol ex hoopa ex","Hydreigon Mega Absol ex",panel,W,"exact panel deck (#8, 3.48%); Hoopa ex is a tech",d07,1789533465560,hydreigon,exact
"Deck 07 — Skarmory stall",2026-09-15,"Mega Altaria ex / Espeon","Mega Altaria ex Espeon",panel,W,"exact panel deck (#2, 5.11%)",d07,1789533478904,altaria,exact
"Deck 07 — Skarmory stall",2026-09-15,"Mega sableye ex / hydreigon","Hydreigon Mega Sableye ex",panel variant,W,"Hydreigon core with Mega Sableye ex instead of Mega Absol ex; listed (119 rows), outside top 30",d07,1789533517358,hydreigon,exact
"Deck 07 — Skarmory stall",2026-09-15,"Mega Lucario ex / Lucario","Mega Lucario ex Lucario",panel,L,"exact panel deck (#1, 8.58%)",d07,1789533986655,lucario,exact
"Skarmory ex / Chandelure",2026-09-16,"Hydreigon / bombirdier","Hydreigon Mega Absol ex",panel,W,"Hydreigon + Bombirdier is the panel Hydreigon list's exact support line, but Mega Absol ex itself was not named. Bombirdier is in no Limitless deck name and every Hydreigon name has a partner (Mega Absol ex on 1902 of 2152 Hydreigon rows), so the partner is inferred (skeptic pass, Sept 26: confidence exact -> likely)",c-skarmory-ex-chandelure,1789594491562,hydreigon,likely
"Brew 06b — Pyukumuku / Silvally / Team Rocket's Scyther (Grass)",2026-09-24,"Charizard ex / entei ex","Mega Charizard Y ex Entei ex",top-30 off-panel,L,"Charizard line + Entei ex = top-30 #12; whether the Charizard was the Mega or the plain ex was not recorded",brew-06b,1790264388975,,likely
"Brew 06 — Pyukumuku / Silvally / Team Rocket's Mewtwo (Payback)",2026-09-24,"Mega Lucario ex / Dugtrio","Mega Lucario ex Dugtrio",panel variant,L,"Mega Lucario ex core with Dugtrio; pairing not listed (Mega Lucario ex alone 130 rows); plays as panel Lucario",brew-06,1790265600000,lucario,exact
"Brew 06 — Pyukumuku / Silvally / Team Rocket's Mewtwo (Payback)",2026-09-24,"Mega Lucario ex / Hitmonchan ex / Great Tusk","Mega Lucario ex Hitmonchan ex",panel variant,L,"Mega Lucario ex core with Hitmonchan ex; listed (116 rows), outside top 30",brew-06,1790265660000,lucario,exact
"Brew 06 — Pyukumuku / Silvally / Team Rocket's Mewtwo (Payback)",2026-09-24,Mega Kangaskhan ex,Mega Kangaskhan ex,established off-list,L,"Mega Kangaskhan ex family listed (Happiny 120, Ogerpon 47, Zeraora 26, others; about 260 rows), outside top 30",brew-06,1790265720000,,exact
"Brew 06b — Pyukumuku / Silvally / Team Rocket's Scyther (Grass)",2026-09-24,"Mega Blaziken ex / castform sunny form","Mega Blaziken ex Castform Sunny Form",panel,L,"Limitless names this pairing separately (Mega Blaziken ex Castform Sunny Form, 217 match rows; bare Mega Blaziken ex is #7, 3.68%, 1522 rows). The panel t-blaziken list itself runs Castform Sunny Form B3 024, so this opponent is the panel list card for card (skeptic pass, Sept 26: name changed from Mega Blaziken ex to the Limitless spelling; class and panel key unchanged)",brew-06b,1790265964530,blaziken,exact
"Brew 06b — Pyukumuku / Silvally / Team Rocket's Scyther (Grass)",2026-09-24,Mega Blaziken ex,"Mega Blaziken ex",panel,L,"exact panel deck",brew-06b,1790266373252,blaziken,exact
