pairing	block	held_key	held_file	opponent	panel_file	seed_first	seed_last	sub_block_end
55	B_dustin	dustin_manectric	decks/dustin/09-mega-manectric-heliolisk.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21106550000	21106550499	21106559999
56	B_dustin	dustin_raticate	decks/dustin/13-a-ninetales-raticate.txt	lucario	decks/screen/opponents/t-lucario.txt	21106560000	21106560499	21106569999
57	B_dustin	dustin_raticate	decks/dustin/13-a-ninetales-raticate.txt	altaria	decks/screen/opponents/t-altaria.txt	21106570000	21106570499	21106579999
58	B_dustin	dustin_raticate	decks/dustin/13-a-ninetales-raticate.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21106580000	21106580499	21106589999
59	B_dustin	dustin_raticate	decks/dustin/13-a-ninetales-raticate.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21106590000	21106590499	21106599999
60	B_dustin	dustin_raticate	decks/dustin/13-a-ninetales-raticate.txt	suicune	decks/screen/opponents/t-suicune.txt	21106600000	21106600499	21106609999
61	B_dustin	dustin_raticate	decks/dustin/13-a-ninetales-raticate.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21106610000	21106610499	21106619999
62	B_dustin	dustin_raticate	decks/dustin/13-a-ninetales-raticate.txt	weezing	decks/screen/opponents/t-weezing.txt	21106620000	21106620499	21106629999
63	B_dustin	dustin_raticate	decks/dustin/13-a-ninetales-raticate.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21106630000	21106630499	21106639999
64	B_dustin	dustin_hoopa_absol	decks/dustin/04-absol-hoopa-darkrai.txt	lucario	decks/screen/opponents/t-lucario.txt	21106640000	21106640499	21106649999
65	B_dustin	dustin_hoopa_absol	decks/dustin/04-absol-hoopa-darkrai.txt	altaria	decks/screen/opponents/t-altaria.txt	21106650000	21106650499	21106659999
66	B_dustin	dustin_hoopa_absol	decks/dustin/04-absol-hoopa-darkrai.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21106660000	21106660499	21106669999
67	B_dustin	dustin_hoopa_absol	decks/dustin/04-absol-hoopa-darkrai.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21106670000	21106670499	21106679999
68	B_dustin	dustin_hoopa_absol	decks/dustin/04-absol-hoopa-darkrai.txt	suicune	decks/screen/opponents/t-suicune.txt	21106680000	21106680499	21106689999
69	B_dustin	dustin_hoopa_absol	decks/dustin/04-absol-hoopa-darkrai.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21106690000	21106690499	21106699999
70	B_dustin	dustin_hoopa_absol	decks/dustin/04-absol-hoopa-darkrai.txt	weezing	decks/screen/opponents/t-weezing.txt	21106700000	21106700499	21106709999
71	B_dustin	dustin_hoopa_absol	decks/dustin/04-absol-hoopa-darkrai.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21106710000	21106710499	21106719999
72	B_dustin	dustin_garchomp	decks/dustin/08-garchomp-toolbox.txt	lucario	decks/screen/opponents/t-lucario.txt	21106720000	21106720499	21106729999
73	B_dustin	dustin_garchomp	decks/dustin/08-garchomp-toolbox.txt	altaria	decks/screen/opponents/t-altaria.txt	21106730000	21106730499	21106739999
74	B_dustin	dustin_garchomp	decks/dustin/08-garchomp-toolbox.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21106740000	21106740499	21106749999
75	B_dustin	dustin_garchomp	decks/dustin/08-garchomp-toolbox.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21106750000	21106750499	21106759999
76	B_dustin	dustin_garchomp	decks/dustin/08-garchomp-toolbox.txt	suicune	decks/screen/opponents/t-suicune.txt	21106760000	21106760499	21106769999
77	B_dustin	dustin_garchomp	decks/dustin/08-garchomp-toolbox.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21106770000	21106770499	21106779999
78	B_dustin	dustin_garchomp	decks/dustin/08-garchomp-toolbox.txt	weezing	decks/screen/opponents/t-weezing.txt	21106780000	21106780499	21106789999
79	B_dustin	dustin_garchomp	decks/dustin/08-garchomp-toolbox.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21106790000	21106790499	21106799999
80	B_dustin	dustin_whimsicott	decks/dustin/12-ariados-whimsicott-ogerpon.txt	lucario	decks/screen/opponents/t-lucario.txt	21106800000	21106800499	21106809999
81	B_dustin	dustin_whimsicott	decks/dustin/12-ariados-whimsicott-ogerpon.txt	altaria	decks/screen/opponents/t-altaria.txt	21106810000	21106810499	21106819999
82	B_dustin	dustin_whimsicott	decks/dustin/12-ariados-whimsicott-ogerpon.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21106820000	21106820499	21106829999
83	B_dustin	dustin_whimsicott	decks/dustin/12-ariados-whimsicott-ogerpon.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21106830000	21106830499	21106839999
84	B_dustin	dustin_whimsicott	decks/dustin/12-ariados-whimsicott-ogerpon.txt	suicune	decks/screen/opponents/t-suicune.txt	21106840000	21106840499	21106849999
85	B_dustin	dustin_whimsicott	decks/dustin/12-ariados-whimsicott-ogerpon.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21106850000	21106850499	21106859999
86	B_dustin	dustin_whimsicott	decks/dustin/12-ariados-whimsicott-ogerpon.txt	weezing	decks/screen/opponents/t-weezing.txt	21106860000	21106860499	21106869999
87	B_dustin	dustin_whimsicott	decks/dustin/12-ariados-whimsicott-ogerpon.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21106870000	21106870499	21106879999
88	B_dustin	dustin_charizardy_entei	decks/brews/brew-08-entei-rainbow-cave.txt	lucario	decks/screen/opponents/t-lucario.txt	21106880000	21106880499	21106889999
89	B_dustin	dustin_charizardy_entei	decks/brews/brew-08-entei-rainbow-cave.txt	altaria	decks/screen/opponents/t-altaria.txt	21106890000	21106890499	21106899999
90	B_dustin	dustin_charizardy_entei	decks/brews/brew-08-entei-rainbow-cave.txt	sceptile	decks/screen/opponents/t-sceptile.txt	21106900000	21106900499	21106909999
91	B_dustin	dustin_charizardy_entei	decks/brews/brew-08-entei-rainbow-cave.txt	vespiquen	decks/screen/opponents/t-vespiquen.txt	21106910000	21106910499	21106919999
92	B_dustin	dustin_charizardy_entei	decks/brews/brew-08-entei-rainbow-cave.txt	suicune	decks/screen/opponents/t-suicune.txt	21106920000	21106920499	21106929999
93	B_dustin	dustin_charizardy_entei	decks/brews/brew-08-entei-rainbow-cave.txt	hydreigon	decks/screen/opponents/t-hydreigon.txt	21106930000	21106930499	21106939999
94	B_dustin	dustin_charizardy_entei	decks/brews/brew-08-entei-rainbow-cave.txt	weezing	decks/screen/opponents/t-weezing.txt	21106940000	21106940499	21106949999
95	B_dustin	dustin_charizardy_entei	decks/brews/brew-08-entei-rainbow-cave.txt	blaziken	decks/screen/opponents/t-blaziken.txt	21106950000	21106950499	21106959999
