# CANON_MAP.tsv — functional card-identity map. GENERATED by lib/card_canon.py; never hand-edit.
# source_sha256=2f48cb72966c23ba3794f437aa94312e4eadcb2703c32893411ee27fc63b11d9
# ids=3879 classes=2318 multi_print_classes=884
# newer_than_ALL_IDS_v2=B3 234,P-B 086,B4a 001,B4a 002,B4a 003,B4a 004,B4a 005,B4a 006,B4a 007,B4a 008,B4a 009,B4a 010,B4a 011,B4a 012,B4a 013,B4a 014,B4a 015,B4a 016,B4a 017,B4a 018,B4a 019,B4a 020,B4a 021,B4a 022,B4a 023,B4a 024,B4a 025,B4a 026,B4a 027,B4a 028,B4a 029,B4a 030,B4a 031,B4a 032,B4a 033,B4a 034,B4a 035,B4a 036,B4a 037,B4a 038,B4a 039,B4a 040,B4a 041,B4a 042,B4a 043,B4a 044,B4a 045,B4a 046,B4a 047,B4a 048,B4a 049,B4a 050,B4a 051,B4a 052,B4a 053,B4a 054,B4a 055,B4a 056,B4a 057,B4a 058,B4a 059,B4a 060,B4a 061,B4a 062,B4a 063,B4a 064,B4a 065,B4a 066,B4a 067,B4a 068,B4a 069,B4a 070,B4a 071,B4a 072,B4a 073,B4a 074,B4a 075,B4a 076,B4a 077,B4a 078,B4a 079,B4a 080,B4a 081,B4a 082,B4a 083,B4a 084,B4a 085,B4a 086,B4a 087,B4a 088,B4a 089,B4a 090,B4a 091,B4a 092,B4a 093,B4a 094,B4a 095,B4a 096,B4a 097,B4a 098,B4a 099,B4a 100,B4a 101,B4a 102,B4a 103,B4a 104,B4a 105,B4a 106,B4a 107,B4a 108,B4a 109,B4a 110,P-B 087,P-B 088,P-B 089,P-B 090,P-B 091,P-B 092,P-B 093,P-B 094
# id	base_id	fingerprint	kind	name
A1 040	A1 040	62eab5fd0f14	Pokemon	Arcanine
A1 041	A1 041	445a2a554fa0	Pokemon	Arcanine ex
A1 042	A1 042	9ec7350619ee	Pokemon	Ponyta
A1 043	A1 043	f050280644b1	Pokemon	Rapidash
A1 044	A1 044	c410cb3537e3	Pokemon	Magmar
A1 045	A1 045	90bca935f75c	Pokemon	Flareon
A1 046	A1 046	f50f5a159212	Pokemon	Moltres
A1 047	A1 047	cce304763e7c	Pokemon	Moltres ex
A1 048	A1 048	86c7ff03ac6a	Pokemon	Heatmor
A1 049	A1 049	64d78d226007	Pokemon	Salandit
A1 050	A1 050	4f22ad6932db	Pokemon	Salazzle
A1 051	A1 051	6f25a47a28ba	Pokemon	Sizzlipede
A1 052	A1 052	2d6c2e70b38b	Pokemon	Centiskorch
A1 053	A1 053	1efa7f427161	Pokemon	Squirtle
A1 054	A1 054	466f146748cf	Pokemon	Wartortle
A1 055	A1 055	e5c4e09bf6fc	Pokemon	Blastoise
A1 056	A1 056	4b5b7907c4be	Pokemon	Blastoise ex
A1 057	A1 057	f40ffc73367b	Pokemon	Psyduck
A1 058	A1 058	999f15a19518	Pokemon	Golduck
A1 059	A1 059	a44fb98d93b4	Pokemon	Poliwag
A1 060	A1 060	2fef30762c67	Pokemon	Poliwhirl
A1 061	A1 061	23af2e8decb8	Pokemon	Poliwrath
A1 062	A1 062	f2f4257dfd14	Pokemon	Tentacool
A1 063	A1 063	7935cbd26cbf	Pokemon	Tentacruel
A1 064	A1 064	97c14034d24b	Pokemon	Seel
A1 065	A1 065	8031321ae398	Pokemon	Dewgong
A1 066	A1 066	0ace57d9a3d5	Pokemon	Shellder
A1 067	A1 067	b36801d4df03	Pokemon	Cloyster
A1 068	A1 068	edb971c5e6d0	Pokemon	Krabby
A1 069	A1 069	d2d2fff70844	Pokemon	Kingler
A1 070	A1 070	73e97439080d	Pokemon	Horsea
A1 071	A1 071	4ff44a0c95a1	Pokemon	Seadra
A1 072	A1 072	43bc595fca2b	Pokemon	Goldeen
A1 073	A1 073	1b1d630537a2	Pokemon	Seaking
A1 074	A1 074	edb1a3bab0fc	Pokemon	Staryu
A1 075	A1 075	8cb5d9ebfb21	Pokemon	Starmie
A1 076	A1 076	66353f9ac465	Pokemon	Starmie ex
A1 077	A1 077	036722b37572	Pokemon	Magikarp
A1 078	A1 078	b1bd6606af5b	Pokemon	Gyarados
A1 079	A1 079	611da198a575	Pokemon	Lapras
A1 080	A1 080	5779ece24aa2	Pokemon	Vaporeon
A1 081	A1 081	68635ec849ab	Pokemon	Omanyte
A1 082	A1 082	90dc9ce6cc98	Pokemon	Omastar
A1 083	A1 083	dd008908d15d	Pokemon	Articuno
A1 084	A1 084	0ec6c4a3e64e	Pokemon	Articuno ex
A1 085	A1 085	81c22623e7fb	Pokemon	Ducklett
A1 086	A1 086	f79619bea7fc	Pokemon	Swanna
A1 087	A1 087	1a472fbe829f	Pokemon	Froakie
A1 088	A1 088	ab76b9b4c633	Pokemon	Frogadier
A1 089	A1 089	fcbd362ce56f	Pokemon	Greninja
A1 090	A1 090	8c35a66edf36	Pokemon	Pyukumuku
A1 091	A1 091	c726510801e4	Pokemon	Bruxish
A1 092	A1 092	5f9ae3d42c62	Pokemon	Snom
A1 093	A1 093	3d639c3d2f39	Pokemon	Frosmoth
A1 094	A1 094	a82e2059dadc	Pokemon	Pikachu
A1 095	A1 095	48773fc9e4a1	Pokemon	Raichu
A1 096	A1 096	9199d3ef0bdb	Pokemon	Pikachu ex
A1 097	A1 097	3699e7304b90	Pokemon	Magnemite
A1 098	A1 098	c77d02c503c3	Pokemon	Magneton
A1 099	A1 099	c32365180106	Pokemon	Voltorb
A1 100	A1 100	8e49a8841e5f	Pokemon	Electrode
A1 101	A1 101	3cac4909da2e	Pokemon	Electabuzz
A1 102	A1 102	7777b326b32f	Pokemon	Jolteon
A1 103	A1 103	9631a22d85f3	Pokemon	Zapdos
A1 104	A1 104	8963bb48d2eb	Pokemon	Zapdos ex
A1 105	A1 105	564d9f7ec757	Pokemon	Blitzle
A1 106	A1 106	8ff40bbb0569	Pokemon	Zebstrika
A1 107	A1 107	abd894d68cf6	Pokemon	Tynamo
A1 108	A1 108	6378073bedab	Pokemon	Eelektrik
A1 109	A1 109	bd9c00edc775	Pokemon	Eelektross
A1 110	A1 110	96a1d38e0015	Pokemon	Helioptile
A1 111	A1 111	c1cadabe4ec1	Pokemon	Heliolisk
A1 112	A1 112	ac85bf971bd0	Pokemon	Pincurchin
A1 113	A1 113	f181415a2089	Pokemon	Clefairy
A1 114	A1 114	b3118983d2fd	Pokemon	Clefable
A1 115	A1 115	0218c52de5a2	Pokemon	Abra
A1 116	A1 116	c912e859b4ec	Pokemon	Kadabra
A1 117	A1 117	67234f1d9062	Pokemon	Alakazam
A1 118	A1 118	a4ea45810da4	Pokemon	Slowpoke
A1 119	A1 119	89f83ca9ba2f	Pokemon	Slowbro
A1 120	A1 120	ddfcf1283a44	Pokemon	Gastly
A1 121	A1 121	6384a0a9c68d	Pokemon	Haunter
A1 122	A1 122	b321d366a263	Pokemon	Gengar
A1 123	A1 123	078a97675e8e	Pokemon	Gengar ex
A1 124	A1 124	198f406a36eb	Pokemon	Drowzee
A1 125	A1 125	0b09f3a44159	Pokemon	Hypno
A1 126	A1 126	e5c6b7dfaf22	Pokemon	Mr. Mime
A1 127	A1 127	12ffe314886c	Pokemon	Jynx
A1 128	A1 128	58629d6aff9c	Pokemon	Mewtwo
A1 129	A1 129	609c219d421f	Pokemon	Mewtwo ex
A1 130	A1 130	e40b399b4412	Pokemon	Ralts
A1 131	A1 131	b4460b5cffb8	Pokemon	Kirlia
A1 132	A1 132	afd976094d87	Pokemon	Gardevoir
A1 133	A1 133	dd283706a232	Pokemon	Woobat
A1 134	A1 134	78fd4a8da52f	Pokemon	Swoobat
A1 135	A1 135	dde98fdc9c35	Pokemon	Golett
A1 136	A1 136	61ef7acc19b2	Pokemon	Golurk
A1 137	A1 137	cee6474d2014	Pokemon	Sandshrew
A1 138	A1 138	b4a4b56e0216	Pokemon	Sandslash
A1 139	A1 139	97bffb70f8fc	Pokemon	Diglett
A1 140	A1 140	36b0654f679f	Pokemon	Dugtrio
A1 141	A1 141	a31fb4cafedb	Pokemon	Mankey
A1 142	A1 142	2bd6fd36fc57	Pokemon	Primeape
A1 143	A1 143	e1057f584ab9	Pokemon	Machop
A1 144	A1 144	c65f704c91ef	Pokemon	Machoke
A1 145	A1 145	d508d9d8d70c	Pokemon	Machamp
A1 146	A1 146	04ab026524e5	Pokemon	Machamp ex
A1 147	A1 147	31e5e9fa5ea4	Pokemon	Geodude
A1 148	A1 148	03eef26599de	Pokemon	Graveler
A1 149	A1 149	d97f8fc04441	Pokemon	Golem
A1 150	A1 150	dc62bdc7478f	Pokemon	Onix
A1 151	A1 151	20e11a9abe42	Pokemon	Cubone
A1 152	A1 152	ee4bd0cf227b	Pokemon	Marowak
A1 153	A1 153	3d5d2c98e602	Pokemon	Marowak ex
A1 154	A1 154	d82449520131	Pokemon	Hitmonlee
A1 155	A1 155	912f13f962c4	Pokemon	Hitmonchan
A1 156	A1 156	6149eedb8b23	Pokemon	Rhyhorn
A1 157	A1 157	2a57d2750f81	Pokemon	Rhydon
A1 158	A1 158	00ec7ea1f2c4	Pokemon	Kabuto
A1 159	A1 159	a46b7d2ec3bc	Pokemon	Kabutops
A1 160	A1 160	3d5947276b64	Pokemon	Mienfoo
A1 161	A1 161	a91dec492e32	Pokemon	Mienshao
A1 162	A1 162	c86ec304790a	Pokemon	Clobbopus
A1 163	A1 163	405d42006c47	Pokemon	Grapploct
A1 164	A1 164	efb33efb139a	Pokemon	Ekans
A1 165	A1 165	6aa5343b3ea5	Pokemon	Arbok
A1 166	A1 166	fccef17f1678	Pokemon	Nidoran♀
A1 167	A1 167	303dba34c7ed	Pokemon	Nidorina
A1 168	A1 168	c307cc8e894a	Pokemon	Nidoqueen
A1 169	A1 169	d2aba98b0d26	Pokemon	Nidoran♂
A1 170	A1 170	72d0f52a45cc	Pokemon	Nidorino
A1 171	A1 171	9149d96f1cd4	Pokemon	Nidoking
A1 172	A1 172	ec3d7488921c	Pokemon	Zubat
A1 173	A1 173	9bd4ddf0f2f5	Pokemon	Golbat
A1 174	A1 174	10930af22467	Pokemon	Grimer
A1 175	A1 175	f3051fc7bb78	Pokemon	Muk
A1 176	A1 176	58b630b74011	Pokemon	Koffing
A1 177	A1 177	229184a5c7d6	Pokemon	Weezing
A1 178	A1 178	6ee180919f75	Pokemon	Mawile
A1 179	A1 179	68fd2a57bcfc	Pokemon	Pawniard
A1 180	A1 180	03d90cfb28a5	Pokemon	Bisharp
A1 181	A1 181	5ea2ed6eca4d	Pokemon	Meltan
A1 182	A1 182	eaf6455cb560	Pokemon	Melmetal
A1 183	A1 183	022faf581cea	Pokemon	Dratini
A1 184	A1 184	817aa8c21742	Pokemon	Dragonair
A1 185	A1 185	56206e45e9f8	Pokemon	Dragonite
A1 186	A1 186	21cdec1d4cf4	Pokemon	Pidgey
A1 187	A1 187	1c26253dbf1b	Pokemon	Pidgeotto
A1 188	A1 188	99305cf73d3a	Pokemon	Pidgeot
A1 189	A1 189	27bc35b1c592	Pokemon	Rattata
A1 190	A1 190	fd9d759effbe	Pokemon	Raticate
A1 191	A1 191	208cf1f07d9d	Pokemon	Spearow
A1 192	A1 192	c561322538f4	Pokemon	Fearow
A1 193	A1 193	c7653883a6c7	Pokemon	Jigglypuff
A1 194	A1 194	32f4fb88efa3	Pokemon	Wigglytuff
A1 195	A1 195	1deb301b8bc8	Pokemon	Wigglytuff ex
A1 196	A1 196	9ee4e1e64aab	Pokemon	Meowth
A1 197	A1 197	119ba8447567	Pokemon	Persian
A1 198	A1 198	cbadf5e28371	Pokemon	Farfetch'd
A1 199	A1 199	07b31c2869ea	Pokemon	Doduo
A1 200	A1 200	661c5044f67f	Pokemon	Dodrio
A1 201	A1 201	219b2a1a00f3	Pokemon	Lickitung
A1 202	A1 202	0b0b25366b13	Pokemon	Chansey
A1 203	A1 203	796180940aa4	Pokemon	Kangaskhan
A1 204	A1 204	3fc8a69796fa	Pokemon	Tauros
A1 205	A1 205	ae2903584303	Pokemon	Ditto
A1 206	A1 206	1b90a5b6fb7b	Pokemon	Eevee
A1 207	A1 206	1b90a5b6fb7b	Pokemon	Eevee
A1 208	A1 206	1b90a5b6fb7b	Pokemon	Eevee
A1 209	A1 209	97e9f8eb2a29	Pokemon	Porygon
A1 210	A1 210	6906f9376bcd	Pokemon	Aerodactyl
A1 211	A1 211	4a521a536bca	Pokemon	Snorlax
A1 212	A1 212	8356720e1096	Pokemon	Minccino
A1 213	A1 213	5bcef94dd303	Pokemon	Cinccino
A1 214	A1 214	234d2af631c3	Pokemon	Wooloo
A1 215	A1 215	ecb8382e2daf	Pokemon	Dubwool
A1 216	A1 216	4deaea1cafc6	Trainer	Helix Fossil
A1 217	A1 217	a91472e14c76	Trainer	Dome Fossil
A1 218	A1 218	600955009453	Trainer	Old Amber
A1 219	A1 219	e3f5859357f7	Trainer	Erika
A1 220	A1 220	14f8475bf8bb	Trainer	Misty
A1 221	A1 221	21925b66342e	Trainer	Blaine
A1 222	A1 222	75ce257c2526	Trainer	Koga
A1 223	A1 223	bf579f49bfe3	Trainer	Giovanni
A1 224	A1 224	b0529e365c6d	Trainer	Brock
A1 225	A1 225	fc3dee07043b	Trainer	Sabrina
A1 226	A1 226	ddc5b767e577	Trainer	Lt. Surge
A1 227	A1 001	1594dfb55509	Pokemon	Bulbasaur
A1 228	A1 012	2a6cb96ccebf	Pokemon	Gloom
A1 229	A1 026	c5dc5a361a87	Pokemon	Pinsir
A1 230	A1 033	a85658726ac6	Pokemon	Charmander
A1 231	A1 043	f050280644b1	Pokemon	Rapidash
A1 232	A1 053	1efa7f427161	Pokemon	Squirtle
A1 233	A1 078	b1bd6606af5b	Pokemon	Gyarados
A1 234	A1 079	611da198a575	Pokemon	Lapras
A1 235	A1 100	8e49a8841e5f	Pokemon	Electrode
A1 236	A1 117	67234f1d9062	Pokemon	Alakazam
A1 237	A1 118	a4ea45810da4	Pokemon	Slowpoke
A1 238	A1 139	97bffb70f8fc	Pokemon	Diglett
A1 239	A1 151	20e11a9abe42	Pokemon	Cubone
A1 240	A1 168	c307cc8e894a	Pokemon	Nidoqueen
A1 241	A1 171	9149d96f1cd4	Pokemon	Nidoking
A1 242	A1 173	9bd4ddf0f2f5	Pokemon	Golbat
A1 243	A1 177	229184a5c7d6	Pokemon	Weezing
A1 244	A1 185	56206e45e9f8	Pokemon	Dragonite
A1 245	A1 188	99305cf73d3a	Pokemon	Pidgeot
A1 246	A1 196	9ee4e1e64aab	Pokemon	Meowth
A1 247	A1 205	ae2903584303	Pokemon	Ditto
A1 248	A1 206	1b90a5b6fb7b	Pokemon	Eevee
A1 249	A1 209	97e9f8eb2a29	Pokemon	Porygon
A1 250	A1 211	4a521a536bca	Pokemon	Snorlax
A1 251	A1 004	a1b6648fe1ba	Pokemon	Venusaur ex
A1 252	A1 023	1a07949625f1	Pokemon	Exeggutor ex
A1 253	A1 036	a3d83b9c744d	Pokemon	Charizard ex
A1 254	A1 041	445a2a554fa0	Pokemon	Arcanine ex
A1 255	A1 047	cce304763e7c	Pokemon	Moltres ex
A1 256	A1 056	4b5b7907c4be	Pokemon	Blastoise ex
A1 257	A1 076	66353f9ac465	Pokemon	Starmie ex
A1 258	A1 084	0ec6c4a3e64e	Pokemon	Articuno ex
A1 259	A1 096	9199d3ef0bdb	Pokemon	Pikachu ex
A1 260	A1 104	8963bb48d2eb	Pokemon	Zapdos ex
A1 261	A1 123	078a97675e8e	Pokemon	Gengar ex
A1 262	A1 129	609c219d421f	Pokemon	Mewtwo ex
A1 263	A1 146	04ab026524e5	Pokemon	Machamp ex
A1 264	A1 153	3d5d2c98e602	Pokemon	Marowak ex
A1 265	A1 195	1deb301b8bc8	Pokemon	Wigglytuff ex
A1 266	A1 219	e3f5859357f7	Trainer	Erika
A1 267	A1 220	14f8475bf8bb	Trainer	Misty
A1 268	A1 221	21925b66342e	Trainer	Blaine
A1 269	A1 222	75ce257c2526	Trainer	Koga
A1 270	A1 223	bf579f49bfe3	Trainer	Giovanni
A1 271	A1 224	b0529e365c6d	Trainer	Brock
A1 272	A1 225	fc3dee07043b	Trainer	Sabrina
A1 273	A1 226	ddc5b767e577	Trainer	Lt. Surge
A1 274	A1 047	cce304763e7c	Pokemon	Moltres ex
A1 275	A1 084	0ec6c4a3e64e	Pokemon	Articuno ex
A1 276	A1 104	8963bb48d2eb	Pokemon	Zapdos ex
A1 277	A1 123	078a97675e8e	Pokemon	Gengar ex
A1 278	A1 146	04ab026524e5	Pokemon	Machamp ex
A1 279	A1 195	1deb301b8bc8	Pokemon	Wigglytuff ex
A1 280	A1 036	a3d83b9c744d	Pokemon	Charizard ex
A1 281	A1 096	9199d3ef0bdb	Pokemon	Pikachu ex
A1 282	A1 129	609c219d421f	Pokemon	Mewtwo ex
A1 283	A1 283	b5a3032053aa	Pokemon	Mew
A1 284	A1 036	a3d83b9c744d	Pokemon	Charizard ex
A1 285	A1 096	9199d3ef0bdb	Pokemon	Pikachu ex
A1 286	A1 129	609c219d421f	Pokemon	Mewtwo ex
A1a 001	A1a 001	783a136bd51f	Pokemon	Exeggcute
A1a 002	A1a 002	92fe356bafbc	Pokemon	Exeggutor
A1a 003	A1a 003	61fff590ffb5	Pokemon	Celebi ex
A1a 004	A1a 004	47ac2d4f3a03	Pokemon	Snivy
A1a 005	A1a 005	8c209bb70f27	Pokemon	Servine
A1a 006	A1a 006	bf713e23f9be	Pokemon	Serperior
A1a 007	A1a 007	078f300ae9ff	Pokemon	Morelull
A1a 008	A1a 008	674c5e304718	Pokemon	Shiinotic
A1a 009	A1a 009	5f9ee7455876	Pokemon	Dhelmise
A1a 010	A1a 010	a41939ffe2b7	Pokemon	Ponyta
A1a 011	A1a 011	0c98023f8d17	Pokemon	Rapidash
A1a 012	A1a 012	e27db3813ccd	Pokemon	Magmar
A1a 013	A1a 013	7c17c1deb376	Pokemon	Larvesta
A1a 014	A1a 014	5d222e6c4016	Pokemon	Volcarona
A1a 015	A1a 015	683bba6d3c8e	Pokemon	Salandit
A1a 016	A1a 016	8b3f40303c47	Pokemon	Salazzle
A1a 017	A1a 017	29916e027280	Pokemon	Magikarp
A1a 018	A1a 018	c8cc6fb41c03	Pokemon	Gyarados ex
A1a 019	A1a 019	b6526ac72de3	Pokemon	Vaporeon
A1a 020	A1a 020	640487a13805	Pokemon	Finneon
A1a 021	A1a 021	4942411eabb9	Pokemon	Lumineon
A1a 022	A1a 022	53a6791e87db	Pokemon	Chewtle
A1a 023	A1a 023	9fb0164cb4f6	Pokemon	Drednaw
A1a 024	A1a 024	b71f0be0ae33	Pokemon	Cramorant
A1a 025	A1a 025	98b34a4000ea	Pokemon	Pikachu
A1a 026	A1a 026	035b160f22ac	Pokemon	Raichu
A1a 027	A1a 027	9948ce9e32bb	Pokemon	Electabuzz
A1a 028	A1a 028	c1642047d0b9	Pokemon	Joltik
A1a 029	A1a 029	4b91aa8fb418	Pokemon	Galvantula
A1a 030	A1a 030	db8a4d851f8f	Pokemon	Dedenne
A1a 031	A1 283	b5a3032053aa	Pokemon	Mew
A1a 032	A1a 032	ead04fdf411b	Pokemon	Mew ex
A1a 033	A1a 033	64106202e2c6	Pokemon	Sigilyph
A1a 034	A1a 034	c2e50ac5602a	Pokemon	Elgyem
A1a 035	A1a 035	64d0ebc1d410	Pokemon	Beheeyem
A1a 036	A1a 036	5c76fee56958	Pokemon	Flabébé
A1a 037	A1a 037	86ee6f631527	Pokemon	Floette
A1a 038	A1a 038	5903c6276efa	Pokemon	Florges
A1a 039	A1a 039	4a405e219937	Pokemon	Swirlix
A1a 040	A1a 040	eb4f36b9ce8a	Pokemon	Slurpuff
A1a 041	A1a 041	09a55ddce214	Pokemon	Mankey
A1a 042	A1a 042	1bf229421f89	Pokemon	Primeape
A1a 043	A1a 043	9832e4527d16	Pokemon	Geodude
A1a 044	A1a 044	cabeb1299208	Pokemon	Graveler
A1a 045	A1a 045	85606646212c	Pokemon	Golem
A1a 046	A1a 046	461e2c46fe03	Pokemon	Aerodactyl ex
A1a 047	A1a 047	9a29d1dc7786	Pokemon	Marshadow
A1a 048	A1a 048	896a8ff3f3a6	Pokemon	Stonjourner
A1a 049	A1a 049	73ef6c14779a	Pokemon	Koffing
A1a 050	A1a 050	ef31224abcf3	Pokemon	Weezing
A1a 051	A1a 051	1a3aa09f7798	Pokemon	Purrloin
A1a 052	A1a 052	6ed9ecc0368a	Pokemon	Liepard
A1a 053	A1a 053	6969577b72a7	Pokemon	Venipede
A1a 054	A1a 054	c8bed3090bc3	Pokemon	Whirlipede
A1a 055	A1a 055	4badf7574b6f	Pokemon	Scolipede
A1a 056	A1a 056	79c5f1824c37	Pokemon	Druddigon
A1a 057	A1a 057	9731931da930	Pokemon	Pidgey
A1a 058	A1a 058	7339e27b0583	Pokemon	Pidgeotto
A1a 059	A1a 059	344adf19f132	Pokemon	Pidgeot ex
A1a 060	A1a 060	b421c2f91a2f	Pokemon	Tauros
A1a 061	A1a 061	3fecce7599bd	Pokemon	Eevee
A1a 062	A1a 062	6b1c9fff9634	Pokemon	Chatot
A1a 063	A1 218	600955009453	Trainer	Old Amber
A1a 064	A1a 064	5ace20b02600	Trainer	Pokémon Flute
A1a 065	A1a 065	13b17a690aaa	Trainer	Mythical Slab
A1a 066	A1a 066	846451a8f59a	Trainer	Budding Expeditioner
A1a 067	A1a 067	44e4eb101ec8	Trainer	Blue
A1a 068	A1a 068	0bdece43bd6a	Trainer	Leaf
A1a 069	A1a 002	92fe356bafbc	Pokemon	Exeggutor
A1a 070	A1a 006	bf713e23f9be	Pokemon	Serperior
A1a 071	A1a 015	683bba6d3c8e	Pokemon	Salandit
A1a 072	A1a 019	b6526ac72de3	Pokemon	Vaporeon
A1a 073	A1a 030	db8a4d851f8f	Pokemon	Dedenne
A1a 074	A1a 047	9a29d1dc7786	Pokemon	Marshadow
A1a 075	A1a 003	61fff590ffb5	Pokemon	Celebi ex
A1a 076	A1a 018	c8cc6fb41c03	Pokemon	Gyarados ex
A1a 077	A1a 032	ead04fdf411b	Pokemon	Mew ex
A1a 078	A1a 046	461e2c46fe03	Pokemon	Aerodactyl ex
A1a 079	A1a 059	344adf19f132	Pokemon	Pidgeot ex
A1a 080	A1a 066	846451a8f59a	Trainer	Budding Expeditioner
A1a 081	A1a 067	44e4eb101ec8	Trainer	Blue
A1a 082	A1a 068	0bdece43bd6a	Trainer	Leaf
A1a 083	A1a 032	ead04fdf411b	Pokemon	Mew ex
A1a 084	A1a 046	461e2c46fe03	Pokemon	Aerodactyl ex
A1a 085	A1a 003	61fff590ffb5	Pokemon	Celebi ex
A1a 086	A1a 032	ead04fdf411b	Pokemon	Mew ex
A2 001	A2 001	333586e59799	Pokemon	Oddish
A2 002	A2 002	1c47b4578c74	Pokemon	Gloom
A2 003	A2 003	d841b40575bc	Pokemon	Bellossom
A2 004	A2 004	f548226760c5	Pokemon	Tangela
A2 005	A2 005	88e87afe0e11	Pokemon	Tangrowth
A2 006	A2 006	d2e8c73507cf	Pokemon	Yanma
A2 007	A2 007	cef666d819d8	Pokemon	Yanmega ex
A2 008	A2 008	ca6d660abfe1	Pokemon	Roselia
A2 009	A2 009	e203de04a800	Pokemon	Roserade
A2 010	A2 010	be4cbbe48e50	Pokemon	Turtwig
A2 011	A2 011	c344db6b8cc4	Pokemon	Grotle
A2 012	A2 012	14f32d28aea6	Pokemon	Torterra
A2 013	A2 013	cbca89fe5b9d	Pokemon	Kricketot
A2 014	A2 014	8cb6471e724f	Pokemon	Kricketune
A2 015	A2 015	66daf6ec724f	Pokemon	Burmy
A2 016	A2 016	d907d664a59e	Pokemon	Wormadam
A2 017	A2 017	2807a8992993	Pokemon	Combee
